	Avg_Limosilactobacillus_reuteri_I49	Var_Limosilactobacillus_reuteri_I49	Avg_Acutalibacter_muris_KB1	Var_Acutalibacter_muris_KB1	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
acetylhexosamine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
carbonate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
fe3-e0	0.0	0.0	0.0	0.0	1.985911004714791	0.00019710145685698536	0.0	0.0	1.985911004714791	0.00019710145685698536	Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	1		1	Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	1
fucose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
5'-Deoxyadenosine-e0	0.0	0.0	0.0	0.0	1.9858469760620108	0.00032514192419431795	0.0	0.0	1.9858469760620108	0.00032514192419431795	.Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	2		1	.Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	2
XAN-e0-e0	0.0	0.0	0.0	0.0	0.9929234880310054	8.128548104857949e-05	0.0	0.0	0.9929234880310054	8.128548104857949e-05	.Acutalibacter_muris_KB1	2		1	.Acutalibacter_muris_KB1	2
5-Methylthio-D-ribose-e0	0.0	0.0	0.0	0.0	0.9927322345225027	0.0002724708401140197	0.0	0.0	0.9927322345225027	0.0002724708401140197	.Limosilactobacillus_reuteri_I49	2		1	.Limosilactobacillus_reuteri_I49	2
Glycolate-e0	1.604559298189693e-05	4.013598843642273e-06	0.0	0.0	0.9864885674831319	0.006473452539535149	6.414303363799096e-05	6.41388903258474e-05	0.9865527105167697	0.006538433257932167	.Limosilactobacillus_reuteri_I49	2	.Limosilactobacillus_reuteri_I49	2	.Limosilactobacillus_reuteri_I49.Limosilactobacillus_reuteri_I49Limosilactobacillus_reuteri_I49	3
Homocysteine-e0	0.0	0.0	0.0	0.0	0.9927322345225027	0.0002724708401140197	0.0	0.0	0.9927322345225027	0.0002724708401140197	.Limosilactobacillus_reuteri_I49	2		1	.Limosilactobacillus_reuteri_I49	2
Succinate-e0	0.0	0.0	0.0	0.0	0.9927322345225027	0.0002724708401140197	0.0	0.0	0.9927322345225027	0.0002724708401140197	.Limosilactobacillus_reuteri_I49	2		1	.Limosilactobacillus_reuteri_I49	2
H2S-e0	0.0	0.0	0.0	0.0	1.985071361933049	0.001875510385054606	0.0	0.0	1.985071361933049	0.001875510385054606	.Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	2		1	.Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	2
L-Malate-e0	7.088840457778099e-05	7.772452429420704e-05	0.0	0.0	0.9579742268445253	0.033794769073928324	0.00011184817312120753	0.00011183557498061405	0.9580860750176463	0.03391449605783426	.Limosilactobacillus_reuteri_I49	2	.Limosilactobacillus_reuteri_I49	2	.Limosilactobacillus_reuteri_I49.Limosilactobacillus_reuteri_I49Limosilactobacillus_reuteri_I49	3
Heme-e0	-0.0004066513058732779	0.00494776784671136	0.0	0.0	1.9849807640947423	0.002056526600837995	0.00011184817312120753	0.00011183557498061405	1.9850926122678634	0.0021685939349846864	.Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	2	.Limosilactobacillus_reuteri_I49	2	.Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49.Limosilactobacillus_reuteri_I49Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	3
