	Avg_Limosilactobacillus_reuteri_I49	Var_Limosilactobacillus_reuteri_I49	Avg_Enterocloster_clostridioformis_YL32	Var_Enterocloster_clostridioformis_YL32	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
Urea-e0	4.7893008468592164e-05	5.450076837576416e-06	0.0	0.0	1.7740792670598564	0.045274660408957106	0.0005266537798555793	0.0005263450844896321	1.7746059208397118	0.04582788599588972	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1	.Limosilactobacillus_reuteri_I49	2	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49.Limosilactobacillus_reuteri_I49Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2
VitA Retinol	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Vitamin K1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Vitamin K3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
XAN-e0	0.0	0.0	0.0	0.0	1.7740792670598564	0.045274660408957106	0.0	0.0	1.7740792670598564	0.045274660408957106	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1		1	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1
Zn2+-e0	0.0	0.0	0.0	0.0	1.7740792670598564	0.045274660408957106	0.0	0.0	1.7740792670598564	0.045274660408957106	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1		1	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1
acetylhexosamine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
carbonate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
fe3-e0	0.0	0.0	0.0	0.0	1.7740792670598564	0.045274660408957106	0.0	0.0	1.7740792670598564	0.045274660408957106	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1		1	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1
fucose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
5'-Deoxyadenosine-e0	0.0	0.0	0.0	0.0	0.887010898455608	0.011346665935935089	0.0	0.0	0.887010898455608	0.011346665935935089	.Limosilactobacillus_reuteri_I49	2		1	.Limosilactobacillus_reuteri_I49	2
Glycolate-e0	0.0	0.0	0.0	0.0	0.887010898455608	0.011346665935935089	0.0	0.0	0.887010898455608	0.011346665935935089	.Limosilactobacillus_reuteri_I49	2		1	.Limosilactobacillus_reuteri_I49	2
Homocysteine-e0	0.0	0.0	0.0	0.0	0.887010898455608	0.011346665935935089	0.0	0.0	0.887010898455608	0.011346665935935089	.Limosilactobacillus_reuteri_I49	2		1	.Limosilactobacillus_reuteri_I49	2
5-Methylthio-D-ribose-e0	0.0	0.0	0.0	0.0	0.8868393304207121	0.011513811804867751	0.0	0.0	0.8868393304207121	0.011513811804867751	.Limosilactobacillus_reuteri_I49	2		1	.Limosilactobacillus_reuteri_I49	2
L-Malate-e0	0.0	0.0	-1.585682940897813e-14	1.3452955237057484e-26	1.7735469310992702	0.04631184641571162	0.0	0.0	1.7735469310992702	0.04631184641571162	.Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2		1	.Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2
